,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
136,"frozenset({'Online PvP', 'PvP', 'Single-player'})",frozenset({'Multi-player'}),0.05402362919002809,0.18796244685618108,0.05402362919002809,1.0,5.3202116525177345,1.0,0.0438692156594194,inf,0.8584120895625852,0.2874171415280847,1.0,0.6437085707640423
63,"frozenset({'Online PvP', 'PvP'})",frozenset({'Multi-player'}),0.083729521186487,0.18796244685618108,0.08371859186639999,0.9998694687377626,5.319517198575362,1.0,0.06798058619009144,6221.0196946308915,0.8862154066306503,0.4453747310890168,0.9998392546480985,0.7226350483588801
38,"frozenset({'Online Co-op', 'Co-op'})",frozenset({'Multi-player'}),0.05592533088516563,0.18796244685618108,0.05590347224499164,0.9996091459839751,5.318132226427245,1.0,0.045391610210574355,2077.598079719072,0.8600633881028088,0.2973837209302326,0.9995186749498078,0.6485137252189908
73,"frozenset({'PvP', 'Single-player'})",frozenset({'Multi-player'}),0.08274588237865722,0.18796244685618108,0.08270216509830923,0.9994716682076343,5.317400815559595,1.0,0.06714904657914306,1536.9840787127873,0.8851834824338396,0.4398907103825137,0.9993493751732044,0.7197323453260522
16,frozenset({'PvP'}),frozenset({'Multi-player'}),0.11857219362383466,0.18796244685618108,0.11849568838322568,0.9993547792423265,5.316778941524314,1.0,0.09620856874058484,1258.5422020082563,0.9211374904410595,0.6301656495204883,0.9992054299026252,0.814888460675937
39,"frozenset({'Online Co-op', 'Multi-player'})",frozenset({'Co-op'}),0.05597997748560062,0.09564248008131414,0.05590347224499164,0.9986333463490824,10.44131588285933,1.0,0.05054940836337267,661.7313167176525,0.957846877533092,0.5840374514729392,0.998488812642327,0.7915689871957959
12,frozenset({'Online Co-op'}),frozenset({'Multi-player'}),0.0560674120462966,0.18796244685618108,0.05597997748560062,0.9984405458089668,5.311915026159032,1.0,0.045441409528484994,520.7190809534517,0.8599596908278331,0.29768685342322443,0.9980795787276147,0.6481329371677698
79,"frozenset({'Remote Play Together', 'Shared/Split Screen'})",frozenset({'Multi-player'}),0.05820955878334809,0.18796244685618108,0.05810026558247811,0.9981224183251971,5.310222520612895,1.0,0.0471590544831413,432.4912008043879,0.8618519990249146,0.30892608089260803,0.9976878142303471,0.6536140641457361
148,"frozenset({'Single-player', 'Remote Play Together', 'Shared/Split Screen'})",frozenset({'Multi-player'}),0.05095249024558182,0.18796244685618108,0.05085412636479884,0.9980694980694981,5.30994097365187,1.0,0.041276971624823584,420.635452528499,0.8552511661158654,0.27041320392863366,0.9976226445156042,0.6343121068670551
2,frozenset({'Online Co-op'}),frozenset({'Co-op'}),0.0560674120462966,0.09564248008131414,0.05592533088516563,0.9974658869395711,10.429109388333897,1.0,0.050562904545316874,356.8733905525143,0.9578168471440188,0.5838658146964856,0.9971978857867442,0.791099530145594
41,frozenset({'Online Co-op'}),"frozenset({'Co-op', 'Multi-player'})",0.0560674120462966,0.09518344863766025,0.05590347224499164,0.9970760233918129,10.475308865803273,1.0,0.050566782610236435,309.44726056592316,0.958264851280665,0.5863136176066025,0.9967684315635201,0.7921997409415145
69,"frozenset({'Online PvP', 'Single-player'})",frozenset({'Multi-player'}),0.05448266063368198,0.18796244685618108,0.054329650152464014,0.9971915747241725,5.305270235640052,1.0,0.04408895594852222,289.14337160156765,0.8582689647114351,0.28881013246572157,0.9965415081298217,0.6431184062712617
21,frozenset({'Shared/Split Screen'}),frozenset({'Multi-player'}),0.06748855153720887,0.18796244685618108,0.06724810649529493,0.9964372469635628,5.301257052298238,1.0,0.05456279321358167,227.92417684832742,0.8700863633640276,0.3573170731707318,0.995612576016166,0.6771057033747923
88,"frozenset({'Single-player', 'Shared/Split Screen'})",frozenset({'Multi-player'}),0.05929156147196083,0.18796244685618108,0.059062045750133886,0.9961290322580645,5.299617284830569,1.0,0.04791745877794046,209.7763678954848,0.862442703710642,0.31383936349381497,0.9952330188093531,0.6551758081397312
0,frozenset({'Co-op'}),frozenset({'Multi-player'}),0.09564248008131414,0.18796244685618108,0.09518344863766025,0.9952005485087418,5.294677554768249,1.0,0.07720625405818288,169.19382446575094,0.8969141828174036,0.5051624129930394,0.9940896187957355,0.7507983205388227
14,frozenset({'Online PvP'}),frozenset({'Multi-player'}),0.08481152387509973,0.18796244685618108,0.08439620971179383,0.9951030927835052,5.294159069683241,1.0,0.06845482816262867,165.8266161156857,0.8862792858278724,0.4480157809236483,0.9939696049800452,0.7220543955602605
137,"frozenset({'Online PvP', 'Single-player', 'Multi-player'})",frozenset({'PvP'}),0.054329650152464014,0.11857219362383466,0.05402362919002809,0.9943673305169985,8.386176388636171,1.0,0.047581643392634924,156.48491519628158,0.9313564132532407,0.4544451595108946,0.9936096076817009,0.7249926799142279
44,"frozenset({'Single-player', 'Co-op'})",frozenset({'Multi-player'}),0.07769653649846443,0.18796244685618108,0.07728122233515854,0.9946546631031088,5.291773328872261,1.0,0.06267719122265658,151.91513066577556,0.879349870399159,0.41024599675098644,0.993417377218336,0.7029035613457165
64,"frozenset({'Online PvP', 'Multi-player'})",frozenset({'PvP'}),0.08439620971179383,0.11857219362383466,0.08371859186639999,0.9919709919709919,8.365966434912881,1.0,0.07371154814733541,109.7804116263985,0.9616256430994059,0.7020438090000917,0.9908909068094665,0.8490134248268638
140,"frozenset({'Online PvP', 'Single-player'})","frozenset({'PvP', 'Multi-player'})",0.05448266063368198,0.11849568838322568,0.05402362919002809,0.9915747241725176,8.368023661465859,1.0,0.04756766881329027,104.62616650975313,0.9312335513891093,0.45415288496876155,0.9904421615226935,0.7237434587473914
92,"frozenset({'Online PvP', 'Single-player'})",frozenset({'PvP'}),0.05448266063368198,0.11857219362383466,0.05402362919002809,0.9915747241725176,8.362624438898779,1.0,0.047563500604229474,104.61708606631419,0.9311519502464961,0.45386098613534115,0.9904413319315152,0.7235963767419874
22,frozenset({'Online PvP'}),frozenset({'PvP'}),0.08481152387509973,0.11857219362383466,0.083729521186487,0.9872422680412372,8.326085888005261,1.0,0.0736732327560362,69.08969472201078,0.961436435115454,0.6997625137011327,0.9855260613898557,0.8466951500589632
